conclusion_number,conclusion_date,incident_date,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info,crew,deaths_crew_members,seriously_injured_crew_members,passengers,deaths_passengers,seriously_injured_passengers,other_deaths,other_injuries,aircraft_type2,Year,percentage_deaths_to_all_incidents
E02/2021,2021-01-07,2018-08-16,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Επιβατικό αεροπλάνο αερογραμμών έλαβε ειδοποιήσεις TCAS και εκτέλεσε ελιγμούς για να αποφύγει πιθανή σύγκρουση με πτητικό μέσο διερχόμενο από τον εναέριο χώρο ελέγχου του αεροδρομίου Καβάλας και στη συνέχεια εκτέλεσε ελιγμό για την αποφυγή ορεινού όγκου,Χωρίς Τραυματισμό,      Πλήρωμα=                       Επιβάτες=    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Περιοχη Αεροδρομιου Καβαλας (Lgkv Ctr),,Αεροπλάνο,Μεγάλο,ΠΕΡΙΟΧΗ ΑΕΡΟΔΡΟΜΙΟΥ ΚΑΒΑΛΑΣ (LGKV CTR)Νηολόγιο(α): D-AICDΑεροπλάνοΜεγάλο,,0.0,0.0,,0.0,0.0,0.0,0.0,Αεροπλάνο,2018,22.2
Ε01/2021,2021-01-21,2017-09-29,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Αναγκαστική προσγείωση επιβατικού αεροπλάνου αερογραμμών στο Διεθνές Αεροδρόμιο Αθηνάν (LGAV) ύστερα από μυρωδιά καμένου πλαστικού και καπνό στο θάλαμο διακυβέρνησης,Χωρίς Τραυματισμό,      Πλήρωμα=6                       Επιβάτες=186    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Διεθνης Αερολιμενας Αθηνων,,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝΝηολόγιο(α): G-EZOCΑεροπλάνοΜεγάλο,6.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2017,14.3
04/2021,2021-04-11,2019-01-16,ΑΤΥΧΗΜΑ,Συντριβή υπερελαφρού αεροπλάνου στη θαλάσσια περιοχή του Πατραϊκού κόλπου με αποτέλεσμα τον θανάσιμο τραυματισμό του χειριστή του,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Πατραϊκος Κολπος,I-A468,Αεροπλάνο,Υπερελαφρύ,ΠΑΤΡΑΪΚΟΣ ΚΟΛΠΟΣΝηολόγιο(α): I-A468ΑεροπλάνοΥπερελαφρύ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2019,60.0
03/2021,2021-09-17,2013-08-14,ΑΤΥΧΗΜΑ,Μικρό αεροπλάνο κατά την διάρκεια απογείωσης σε Touch &amp; Go κατέπεσε αριστερά του διαδρόμου προσγείωσης στο αεροδρόμιο Θεσσαλονίκης (LGTS),Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Διεθνής Αερολιμένας Θεσσαλονίκης «Μακεδονία» (Lgts),,Αεροπλάνο,Μικρό / Ελαφρύ,Διεθνής Αερολιμένας Θεσσαλονίκης «Μακεδονία» (LGTS)Νηολόγιο(α): SX-AVCΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2013,16.7
02/2021,2021-01-14,2017-07-26,ΑΤΥΧΗΜΑ,Ανώμαλη προσγείωση αεροπλάνου HAWKER 850 XP στο αεροδρόμιο Μυκόνου με επαφή της αριστερής πτέρυγας με τον διάδρομο προσγείωσης,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=1    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικος Αερολιμενας Μυκονου (Lgmk),,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΜΥΚΟΝΟΥ (LGMK)Νηολόγιο(α): TC-MANΑεροπλάνοΜεγάλο,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2017,50.0
01/2021,2020-11-26,2018-04-21,ΑΤΥΧΗΜΑ,Ελαφρύ αεροπλάνο συνετρίβη κατά την αναγκαστική προσγείωση στον εθνικό δρόμο Ναυπάκτου - Ιτέας,Θανάσιμος τραυματισμός,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=2          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Εθνικος Δρομος Ναυπακτου - Ιτεας Στην Περιοχη Σκαλωμα Νομου Φωκιδας,,Αεροπλάνο,Μικρό / Ελαφρύ,ΕΘΝΙΚΟΣ ΔΡΟΜΟΣ ΝΑΥΠΑΚΤΟΥ - ΙΤΕΑΣ ΣΤΗΝ ΠΕΡΙΟΧΗ ΣΚΑΛΩΜΑ ΝΟΜΟΥ ΦΩΚΙΔΑΣΝηολόγιο(α): SX-SEXΑεροπλάνοΜικρό / Ελαφρύ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2018,8.3
E01/2020,2020-12-17,2018-08-05,ΑΤΥΧΗΜΑ,χειριστής Αλεξιπτώτου Πλαγιάς τραυματίσθηκε θανάσιμα μετά από πτώση του στην περιοχή «Φουρνί» του Αγίου Νικήτα Λευκάδας,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Φουρνι Αγιου Νικητα Λευκαδας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΦΟΥΡΝΙ ΑΓΙΟΥ ΝΙΚΗΤΑ ΛΕΥΚΑΔΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2018,20.0
E01/2019,2019-06-06,2017-02-03,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Αναγκαστική προσγείωση ελαφρού αεροπλάνου στο ανενεργό στρατιωτικό αεροδρόμιο του Αμυγδαλεώνα (LGKM),Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Αμυγδαλεωνας Καβαλας,,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΜΥΓΔΑΛΕΩΝΑΣ ΚΑΒΑΛΑΣΝηολόγιο(α): SX-IFRΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2017,37.5
03/2019,2019-07-11,2018-04-23,ΑΤΥΧΗΜΑ,Χειριστής αλεξιπτώτου πλαγιάς κατά τη διάρκεια της πτήσης του συνετρίβη και  τραυματίσθηκε θανάσιμα σε μικρή απόσταση από τον χώρο απογείωσης.,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Αγιος Σπυριδωνας Κολιακιου, Δημου Επιδαυρου",,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,"ΑΓΙΟΣ ΣΠΥΡΙΔΩΝΑΣ ΚΟΛΙΑΚΙΟΥ, ΔΗΜΟΥ ΕΠΙΔΑΥΡΟΥΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2018,75.0
02/2019,2019-04-07,2016-03-10,ΑΤΥΧΗΜΑ,Χειριστής αλεξιπτώτου πλαγιάς κατέπεσε σε πλαγιά και τραυματίσθηκε σοβαρά,Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κορυλοβος Δραμας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΚΟΡΥΛΟΒΟΣ ΔΡΑΜΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2016,50.0
01/2019,2019-06-06,2017-07-26,ΑΤΥΧΗΜΑ,Υπερελαφρύ αεροπλάνο με δύο επιβαίνοντες συνετρίβη κοντά στο κατώφλι του πεδίου προσγείωσης Τερψιθέας του νομού Λαρρίσης με αποτέλεσμα τον θανάσιμο τραυματισμό των επιβαινόντων,Θανάσιμος τραυματισμός,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=2          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Πεδιο Προσγειωσης Τερψιθεας,,Αεροπλάνο,Υπερελαφρύ,ΠΕΔΙΟ ΠΡΟΣΓΕΙΩΣΗΣ ΤΕΡΨΙΘΕΑΣΝηολόγιο(α): OK-SUA 37ΑεροπλάνοΥπερελαφρύ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2017,50.0
E03/2018,2018-12-21,2016-12-23,ΑΤΥΧΗΜΑ,Σοβαρός Τραυματισμός υπαλλήλου εταιρίας καυσίμων κατά την επιβίβαση για να υπογραφεί το έντυπο καυσίμου από το πλήρωμα πτήσης,Σοβαρός τραυματισμός,      Πλήρωμα=6                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=1                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=1,Διεθνης Αερολιμενας Χανιων (Lgsa),,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΧΑΝΙΩΝ (LGSA)Νηολόγιο(α): EI-FROΑεροπλάνοΜεγάλο,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Αεροπλάνο,2016,
E02/2018,2018-06-15,2015-09-12,ΣΟΒΑΡΟ ΣΥΜΒΑΝ,Δύο ελαφρά αεροπλάνα βρέθηκαν σε συγκλίνουσα πορεία στη ζώνη κυκλοφορίας του αεροδρομίου Μεγάρων (LGMG),Χωρίς Τραυματισμό,      Πλήρωμα=3                       Επιβάτες=2    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Τερματικη Περιοχη Αεροδρομιου Μεγαρων (Lgmg),,Αεροπλάνο,Μικρό / Ελαφρύ,ΤΕΡΜΑΤΙΚΗ ΠΕΡΙΟΧΗ ΑΕΡΟΔΡΟΜΙΟΥ ΜΕΓΑΡΩΝ (LGMG)Νηολόγιο(α): SX-ACO & SX-ARAΑεροπλάνοΜικρό / Ελαφρύ,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2015,
E01/2018,2018-06-15,2014-08-17,ΑΤΥΧΗΜΑ,Ελαφρύ αεροπλάνο κατά την προσγείωση στο αεροδρόμιο Μεγάρων (LGMG) υπέστη σκάσιμο ελαστικού  και κατάρευση του δεξιού σκέλους κατά την προσπάθειά του να σταματήσει πριν το τέλος του διαδρόμου,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=5    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Αεροδρομιο Παχης Μεγαρων (Lgmg),G-IMEC,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΕΡΟΔΡΟΜΙΟ ΠΑΧΗΣ ΜΕΓΑΡΩΝ (LGMG)Νηολόγιο(α): G-IMECΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2014,
11/2018,2018-12-21,2017-04-22,ΑΤΥΧΗΜΑ,Προσγείωση ελαφρού αεροπλάνου σε εκπαιδευτική πτήση με τα σκέλη προσγείωσης ανεβασμένα,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Στον Διαδρομο Π/Γ-Α/Π Αεροδρομιου Καβαλας/Μεγας Αλεξανδρος (Lgkv),,Αεροπλάνο,Μικρό / Ελαφρύ,ΣΤΟΝ ΔΙΑΔΡΟΜΟ Π/Γ-Α/Π ΑΕΡΟΔΡΟΜΙΟΥ ΚΑΒΑΛΑΣ/ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ (LGKV)Νηολόγιο(α): SX-BEOΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2017,
10/2018,2019-03-10,2017-06-23,ΑΤΥΧΗΜΑ,Ελικόπτερο συνετρίβη σε υδροβιότοπο της περιοχής Σχοινιά Μαραθώνα κατόπιν σύγκρουσης με ηλεκτροφόρα καλώδια,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=2    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=1Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=1                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Σχοινιας – Μαραθωνας,,Ελικόπτερο,Μικρό / Ελαφρύ,ΣΧΟΙΝΙΑΣ – ΜΑΡΑΘΩΝΑΣΝηολόγιο(α): SX-HBBΕλικόπτεροΜικρό / Ελαφρύ,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,Ελικόπτερο,2017,
09/2018,2018-10-29,2015-06-26,ΑΤΥΧΗΜΑ,Χειριστής αλεξιπτώτου πλαγιάς προσέκρουσε σε πλαγιά βουνού πλησίον των Δελφών Φωκίδας με συνέπεια τον τραυματισμό του,Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Δελφοι Φωκιδας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,ΔΕΛΦΟΙ ΦΩΚΙΔΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2015,
