conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
E02/2021,01/07/2021,"16/08/2018
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Επιβατικό αεροπλάνο αερογραμμών έλαβε ειδοποιήσεις TCAS και εκτέλεσε ελιγμούς για να αποφύγει πιθανή σύγκρουση με πτητικό μέσο διερχόμενο από τον εναέριο χώρο ελέγχου του αεροδρομίου Καβάλας και στη συνέχεια εκτέλεσε ελιγμό για την αποφυγή ορεινού όγκου""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=                                        Επιβάτες=&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΠΕΡΙΟΧΗ ΑΕΡΟΔΡΟΜΙΟΥ ΚΑΒΑΛΑΣ (LGKV CTR)Νηολόγιο(α): D-AICDΑεροπλάνοΜεγάλο
Ε01/2021,21/01/2021,"29/09/2017
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσγείωση επιβατικού αεροπλάνου αερογραμμών στο Διεθνές Αεροδρόμιο Αθηνάν (LGAV) ύστερα από μυρωδιά καμένου πλαστικού και καπνό στο θάλαμο διακυβέρνησης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=6                                        Επιβάτες=186&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝΝηολόγιο(α): G-EZOCΑεροπλάνοΜεγάλο
04/2021,04/11/2021,"16/01/2019
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή υπερελαφρού αεροπλάνου στη θαλάσσια περιοχή του Πατραϊκού κόλπου με αποτέλεσμα τον θανάσιμο τραυματισμό του χειριστή του""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,ΠΑΤΡΑΪΚΟΣ ΚΟΛΠΟΣΝηολόγιο(α): I-A468ΑεροπλάνοΥπερελαφρύ
03/2021,17/09/2021,"14/08/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Μικρό αεροπλάνο κατά την διάρκεια απογείωσης σε Touch &amp; Go κατέπεσε αριστερά του διαδρόμου προσγείωσης στο αεροδρόμιο Θεσσαλονίκης (LGTS)""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Διεθνής Αερολιμένας Θεσσαλονίκης «Μακεδονία» (LGTS)Νηολόγιο(α): SX-AVCΑεροπλάνοΜικρό / Ελαφρύ
02/2021,14/01/2021,"26/07/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ανώμαλη προσγείωση αεροπλάνου HAWKER 850 XP στο αεροδρόμιο Μυκόνου με επαφή της αριστερής πτέρυγας με τον διάδρομο προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΜΥΚΟΝΟΥ (LGMK)Νηολόγιο(α): TC-MANΑεροπλάνοΜεγάλο
01/2021,26/11/2020,"21/04/2018
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο συνετρίβη κατά την αναγκαστική προσγείωση στον εθνικό δρόμο Ναυπάκτου - Ιτέας""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=2                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΕΘΝΙΚΟΣ ΔΡΟΜΟΣ ΝΑΥΠΑΚΤΟΥ - ΙΤΕΑΣ ΣΤΗΝ ΠΕΡΙΟΧΗ ΣΚΑΛΩΜΑ ΝΟΜΟΥ ΦΩΚΙΔΑΣΝηολόγιο(α): SX-SEXΑεροπλάνοΜικρό / Ελαφρύ
E01/2020,17/12/2020,"08/05/2018
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""χειριστής Αλεξιπτώτου Πλαγιάς τραυματίσθηκε θανάσιμα μετά από πτώση του στην περιοχή «Φουρνί» του Αγίου Νικήτα Λευκάδας""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΦΟΥΡΝΙ ΑΓΙΟΥ ΝΙΚΗΤΑ ΛΕΥΚΑΔΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
E01/2019,06/06/2019,"02/03/2017
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσγείωση ελαφρού αεροπλάνου στο ανενεργό στρατιωτικό αεροδρόμιο του Αμυγδαλεώνα (LGKM)""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΜΥΓΔΑΛΕΩΝΑΣ ΚΑΒΑΛΑΣΝηολόγιο(α): SX-IFRΑεροπλάνοΜικρό / Ελαφρύ
03/2019,07/11/2019,"23/04/2018
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς κατά τη διάρκεια της πτήσης του συνετρίβη και  τραυματίσθηκε θανάσιμα σε μικρή απόσταση από τον χώρο απογείωσης.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"ΑΓΙΟΣ ΣΠΥΡΙΔΩΝΑΣ ΚΟΛΙΑΚΙΟΥ, ΔΗΜΟΥ ΕΠΙΔΑΥΡΟΥΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
02/2019,04/07/2019,"03/10/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς κατέπεσε σε πλαγιά και τραυματίσθηκε σοβαρά""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,ΚΟΡΥΛΟΒΟΣ ΔΡΑΜΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
01/2019,06/06/2019,"26/07/2017
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Υπερελαφρύ αεροπλάνο με δύο επιβαίνοντες συνετρίβη κοντά στο κατώφλι του πεδίου προσγείωσης Τερψιθέας του νομού Λαρρίσης με αποτέλεσμα τον θανάσιμο τραυματισμό των επιβαινόντων""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=2                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,ΠΕΔΙΟ ΠΡΟΣΓΕΙΩΣΗΣ ΤΕΡΨΙΘΕΑΣΝηολόγιο(α): OK-SUA 37ΑεροπλάνοΥπερελαφρύ
E03/2018,21/12/2018,"23/12/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σοβαρός Τραυματισμός υπαλλήλου εταιρίας καυσίμων κατά την επιβίβαση για να υπογραφεί το έντυπο καυσίμου από το πλήρωμα πτήσης""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=6                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=1&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=1"">
</span>",,,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΧΑΝΙΩΝ (LGSA)Νηολόγιο(α): EI-FROΑεροπλάνοΜεγάλο
E02/2018,15/06/2018,"09/12/2015
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Δύο ελαφρά αεροπλάνα βρέθηκαν σε συγκλίνουσα πορεία στη ζώνη κυκλοφορίας του αεροδρομίου Μεγάρων (LGMG)""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=3                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΤΕΡΜΑΤΙΚΗ ΠΕΡΙΟΧΗ ΑΕΡΟΔΡΟΜΙΟΥ ΜΕΓΑΡΩΝ (LGMG)Νηολόγιο(α): SX-ACO & SX-ARAΑεροπλάνοΜικρό / Ελαφρύ
